,asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume,delivery,has_variations,product_badge,book_formats,product_availability
0,B0G4SW3XXP,"Samsung Galaxy S26 Ultra, Unlocked Android Smartphone + $200 Gift Card, 512GB, Privacy Display, Galaxy AI, AI Camera, Super Fast Charging 3.0, Durable Battery, 2026, US 1 Year Warranty, Black","$1,479.99",,USD,4.6,234,https://www.amazon.com/dp/B0G4SW3XXP,https://m.media-amazon.com/images/I/61UnzIc+97L._AC_UY654_QL65_.jpg,3,"$1,411.46",False,True,False,False,4K+ bought in past month,"FREE delivery Fri, Apr 3Or fastest delivery Wed, Apr 1",True,Overall Pick,"[{'asin': 'B0G4SW3XXP', 'format': 'Get it faster'}, {'asin': 'B0G4SW3XXP', 'format': 'Price product page$1,489.41$1,489.41 $200 Amazon Gift Card with purchase FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29'}]",
1,B0DM1S54MZ,"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7&quot;, Dual SIM, 50MP Triple Camera (Case Bundle), Black",$133.38,,USD,4.3,3717,https://www.amazon.com/dp/B0DM1S54MZ,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_UY654_QL65_.jpg,1,$133.38,False,False,False,False,4K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
2,B0FXY18C1J,"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Black",$179.99,$199.99,USD,4.1,230,https://www.amazon.com/dp/B0FXY18C1J,https://m.media-amazon.com/images/I/71Ss7HzbhUL._AC_UY654_QL65_.jpg,2,$165.59,False,False,False,False,2K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
3,B0FG1THCD7,"Samsung Galaxy S25 FE Cell Phone (2025), 256GB AI Smartphone, Unlocked Android, Large Display, 4900mAh Battery, High Res-Camera, AI Photo Edits, Durable, US 1 Yr Warranty, JetBlack",$649.97,$709.99,USD,4.7,661,https://www.amazon.com/dp/B0FG1THCD7,https://m.media-amazon.com/images/I/61JvXODKxOL._AC_UY654_QL65_.jpg,10,$573.84,False,False,False,False,1K+ bought in past month,"FREE delivery Apr 1 - 2Or fastest delivery Tue, Mar 31Only 10 left in stock - order soon.",True,,"[{'asin': 'B0FG1THCD7', 'format': 'Another way to buy'}, {'asin': 'B0FG1THCD7', 'format': 'Price product page$656.97$656.97 List: $709.99List: $709.99$709.99 FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29'}]",Only 10 left in stock - order soon.
4,B0DSWT17NG,Samsung Galaxy A06 4G LTE (64GB + 4GB) Latin Version SM-A065M/DS Factory Unlocked 6.7&quot; Dual Sim 50MP Dual Cam (Case Bundle) - (Light Blue),$95.00,,USD,4.6,134,https://www.amazon.com/dp/B0DSWT17NG,https://m.media-amazon.com/images/I/61wlotbViXL._AC_UY654_QL65_.jpg,3,$93.70,False,False,False,False,100+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29Only 18 left in stock - order soon.",True,,,Only 18 left in stock - order soon.
5,B0FXY1DZ78,"Samsung Galaxy A17 5G Smart Phone, 128GB, Large AMOLED, High-Res Camera, Durable Design, Super Fast Charging, Expandable Storage, Circle to Search, 2025, US 1 Yr Manufacturer Warranty, Blue",$179.99,$199.99,USD,4.1,230,https://www.amazon.com/dp/B0FXY1DZ78,https://m.media-amazon.com/images/I/710u7UnAyWL._AC_UY654_QL65_.jpg,2,$160.19,False,False,False,False,2K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
6,B0CP6DDN1H,Motorola Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,$109.99,$149.99,USD,4.3,1431,https://www.amazon.com/dp/B0CP6DDN1H,https://m.media-amazon.com/images/I/61xk4XNRktL._AC_UY654_QL65_.jpg,6,$82.54,False,False,False,False,2K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
7,B0DNRFGBQ4,"SAMSUNG Galaxy A16 4G Dual SIM (128GB, 2025) 6.7&quot; 90Hz AMOLED, Splash Resistant, 8Core, 50MP Camera (Factory Unlocked International Model for GSM, Global) A165M/DS (25W Fast Charger Bundle, Black)",$131.98,,USD,4.3,2102,https://www.amazon.com/dp/B0DNRFGBQ4,https://m.media-amazon.com/images/I/51PEgOzPKLL._AC_UY654_QL65_.jpg,14,$123.49,False,False,False,False,1K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
8,B0BN72FYFG,"Apple iPhone 14, 128GB, Midnight - Unlocked (Renewed)",$289.99,,USD,4,7090,https://www.amazon.com/dp/B0BN72FYFG,https://m.media-amazon.com/images/I/41dhmioffWL._AC_UY654_QL65_.jpg,77,$248.66,False,False,False,False,5K+ bought in past month,"FREE delivery Tue, Mar 31",True,,,
9,B0FTG3Z4YT,"Tracfone Motorola Moto g Play 2024 [Activation Promotion] Locked to Tracfone, 64GB, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan, 6.5&quot; 90Hz Display, 50MP Camera, Storage 4GB RAM",$49.99,,USD,4.1,122,https://www.amazon.com/dp/B0FTG3Z4YT,https://m.media-amazon.com/images/I/71B2U9e0siL._AC_UY654_QL65_.jpg,1,$49.99,False,False,False,False,1K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",False,,,
10,B0CT6BQV81,Moto G Power 5G | 2024 | Unlocked | Made for US 8/128GB | 50MP Camera | Midnight Blue,$123.86,,USD,4.3,2801,https://www.amazon.com/dp/B0CT6BQV81,https://m.media-amazon.com/images/I/61c9OZyq2yL._AC_UY654_QL65_.jpg,10,$60.49,False,False,False,False,,"FREE delivery Wed, Apr 1Or fastest delivery Tue, Mar 31",True,,"[{'asin': 'B0CT6BQV81', 'format': 'Another way to buy'}, {'asin': 'B0CT6BQV81', 'format': 'Price product page$126.93$126.93 FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29'}]",
11,B09LNP1ZHT,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",$279.00,$299.00,USD,4.1,18700,https://www.amazon.com/dp/B09LNP1ZHT,https://m.media-amazon.com/images/I/516QZcrv+dL._AC_UY654_QL65_.jpg,22,$227.69,False,False,False,False,2K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
12,B00FRSYS12,"VTech CS6719-2 2-Handset Cordless Phone with Caller ID/Call Waiting, Handset Intercom &amp; Backlit Display/Keypad, Silver",$40.95,$42.95,USD,4.4,39509,https://www.amazon.com/dp/B00FRSYS12,https://m.media-amazon.com/images/I/71HLNfFVCcL._AC_UY654_QL65_.jpg,26,$31.95,False,False,False,False,3K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",False,,,
13,B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",$189.99,$199.99,USD,4.1,34180,https://www.amazon.com/dp/B08PP5MSVB,https://m.media-amazon.com/images/I/51fYXSnSu9L._AC_UY654_QL65_.jpg,36,$164.00,False,False,False,False,3K+ bought in past month,"FREE delivery Tue, Mar 31",True,,,
14,B0FSCRCDYC,"OnePlus 15, 16GB RAM + 512GB Storage, Dual-SIM, Unlocked Android Smartphone, Snapdragon 8 Elite Gen 5, 7300mAh Battery, Sand Storm",$899.99,$999.99,USD,4.5,155,https://www.amazon.com/dp/B0FSCRCDYC,https://m.media-amazon.com/images/I/61Dsln0iM0L._AC_UY654_QL65_.jpg,2,$791.99,False,False,False,False,300+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
15,B0DT4T8D65,SAMSUNG Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked 6.7&quot; Dual Sim 50MP Dual Cam (Case Bundle) (Gray),$135.00,,USD,4.3,3717,https://www.amazon.com/dp/B0DT4T8D65,https://m.media-amazon.com/images/I/51jEBZHYs3L._AC_UY654_QL65_.jpg,9,$134.67,False,False,False,False,2K+ bought in past month,"FREE delivery Thu, Apr 2Or fastest delivery Tomorrow, Mar 29",True,,,
